initial x = 1 initila y = 1 f(x, y) = 1
x = 0.5 y = -0.5 f(x, y) = -0.75
x = 1.25 y = -0.25 f(x, y) = -1.1875
x = 1.125 y = -0.625 f(x, y) = -1.29688
x = 1.3125 y = -0.5625 f(x, y) = -1.32422
x = 1.28125 y = -0.65625 f(x, y) = -1.33105
x = 1.32812 y = -0.640625 f(x, y) = -1.33276
x = 1.32031 y = -0.664062 f(x, y) = -1.33319
x = 1.33203 y = -0.660156 f(x, y) = -1.3333
x = 1.33008 y = -0.666016 f(x, y) = -1.33332
x = 1.33301 y = -0.665039 f(x, y) = -1.33333
x = 1.33252 y = -0.666504 f(x, y) = -1.33333
x = 1.33325 y = -0.66626 f(x, y) = -1.33333
x = 1.33313 y = -0.666626 f(x, y) = -1.33333
x = 1.33331 y = -0.666565 f(x, y) = -1.33333
x = 1.33328 y = -0.666656 f(x, y) = -1.33333
x = 1.33333 y = -0.666641 f(x, y) = -1.33333
x = 1.33332 y = -0.666664 f(x, y) = -1.33333
x = 1.33333 y = -0.66666 f(x, y) = -1.33333
x = 1.33333 y = -0.666666 f(x, y) = -1.33333
x = 1.33333 y = -0.666665 f(x, y) = -1.33333
